Date,Type,Name,Start,End,Duration
7/10/14,place,Place in Darmstadt,2014-07-10T11:10:03+02:00,2014-07-10T13:06:50+02:00,7007
7/10/14,move,walking,2014-07-10T13:06:50+02:00,2014-07-10T13:21:45+02:00,895
7/10/14,move,running,2014-07-10T13:21:46+02:00,2014-07-10T13:23:47+02:00,121
7/10/14,move,walking,2014-07-10T13:23:47+02:00,2014-07-10T13:32:20+02:00,513
7/10/14,move,transport,2014-07-10T13:32:20+02:00,2014-07-10T13:51:27+02:00,1147
7/10/14,move,walking,2014-07-10T13:51:27+02:00,2014-07-10T14:04:19+02:00,772
7/10/14,place,Place in Dieburg,2014-07-10T14:04:19+02:00,2014-07-10T14:58:07+02:00,3228
7/10/14,move,walking,2014-07-10T14:58:07+02:00,2014-07-10T15:09:23+02:00,676
7/10/14,move,transport,2014-07-10T15:09:23+02:00,2014-07-10T15:24:11+02:00,888
7/10/14,move,walking,2014-07-10T15:24:10+02:00,2014-07-10T15:50:44+02:00,1594
7/10/14,place,Place in Studentenwohnheim Karlshof,2014-07-10T15:50:45+02:00,2014-07-10T15:56:03+02:00,318
7/10/14,move,walking,2014-07-10T15:56:03+02:00,2014-07-10T15:59:27+02:00,204
7/10/14,place,Place in Darmstadt,2014-07-10T15:59:27+02:00,2014-07-11T00:00:00+02:00,28833
7/11/14,place,Place in Darmstadt,2014-07-11T00:00:00+02:00,2014-07-11T09:38:06+02:00,34686
7/11/14,move,walking,2014-07-11T09:38:06+02:00,2014-07-11T09:45:36+02:00,450
7/11/14,place,Place in Darmstadt,2014-07-11T09:45:35+02:00,2014-07-11T09:54:27+02:00,532
7/11/14,move,walking,2014-07-11T09:54:27+02:00,2014-07-11T10:05:35+02:00,668
7/11/14,place,Place in TU Darmstadt / S1,2014-07-11T10:05:34+02:00,2014-07-11T13:22:51+02:00,11837
7/11/14,move,walking,2014-07-11T13:22:51+02:00,2014-07-11T13:34:54+02:00,723
7/11/14,move,transport,2014-07-11T13:34:53+02:00,2014-07-11T13:41:29+02:00,396
7/11/14,move,walking,2014-07-11T13:41:29+02:00,2014-07-11T13:48:26+02:00,417
7/11/14,place,Place in Darmstadt,2014-07-11T13:48:26+02:00,2014-07-11T13:58:50+02:00,624
7/11/14,move,walking,2014-07-11T13:58:50+02:00,2014-07-11T14:13:42+02:00,892
7/11/14,place,Place in Darmstadt,2014-07-11T14:13:41+02:00,2014-07-11T15:53:45+02:00,6004
7/11/14,move,walking,2014-07-11T15:53:45+02:00,2014-07-11T16:06:22+02:00,757
7/11/14,place,Place in Darmstadt,2014-07-11T16:06:22+02:00,2014-07-12T00:00:00+02:00,28418
7/12/14,place,Place in Darmstadt,2014-07-12T00:00:00+02:00,2014-07-12T09:31:35+02:00,34295
7/12/14,move,walking,2014-07-12T09:31:35+02:00,2014-07-12T09:50:09+02:00,1114
7/12/14,place,Place in TU Darmstadt / S1,2014-07-12T09:50:08+02:00,2014-07-12T12:51:47+02:00,10899
