Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
8/3/14,walking,walking,2014-08-03T14:48:35+02:00,2014-08-03T15:18:17+02:00,1782,2.229,2830,0
8/3/14,walking,walking,2014-08-03T15:18:16+02:00,2014-08-03T15:24:25+02:00,369,0.430,573,0
8/3/14,transport,transport,2014-08-03T15:47:46+02:00,2014-08-03T16:03:47+02:00,961,1.198,0,0
8/3/14,walking,walking,2014-08-03T16:05:30+02:00,2014-08-03T16:05:52+02:00,22,0.018,36,0
8/3/14,walking,walking,2014-08-03T16:06:10+02:00,2014-08-03T16:19:03+02:00,773,0.486,971,0
8/3/14,transport,transport,2014-08-03T16:19:02+02:00,2014-08-03T16:53:26+02:00,2064,6.169,0,0
8/3/14,walking,walking,2014-08-03T16:53:26+02:00,2014-08-03T17:00:15+02:00,409,0.254,510,0
8/3/14,walking,walking,2014-08-03T17:00:29+02:00,2014-08-03T17:07:25+02:00,416,0.456,608,0
8/3/14,walking,walking,2014-08-03T17:19:51+02:00,2014-08-03T17:25:46+02:00,355,0.494,601,0
8/3/14,transport,transport,2014-08-03T17:25:45+02:00,2014-08-03T18:29:09+02:00,3804,88.045,0,0
8/3/14,walking,walking,2014-08-03T18:29:08+02:00,2014-08-03T18:31:09+02:00,121,0.109,172,0
8/3/14,walking,walking,2014-08-03T18:37:37+02:00,2014-08-03T18:38:04+02:00,27,0.018,36,0
8/3/14,transport,transport,2014-08-03T18:38:23+02:00,2014-08-03T18:52:50+02:00,867,2.929,0,0
8/3/14,walking,walking,2014-08-03T18:52:50+02:00,2014-08-03T18:58:23+02:00,333,0.670,558,0
8/3/14,walking,walking,2014-08-03T18:58:30+02:00,2014-08-03T18:58:36+02:00,6,0.006,11,0
8/3/14,walking,walking,2014-08-03T22:18:20+02:00,2014-08-03T22:18:49+02:00,29,0.020,39,0
